day,stagecode,artistcode,starttime,duration,caption,headercode
1,mo,kendricklamar,22:45,75 min,KENDRICK LAMAR,20160304
1,mo,dangelo,20:45,90 min,D'ANGELO,20160304
1,mo,kamasiwashington,19:00,75 min,KAMASI WASHINGTON,20160304
1,mo,hiatuskaiyote,17:30,60 min,HIATUS KAIYOTE,20160304
1,mo,fantasticnegrito,16:00,60 min,FANTASTIC NEGRITO,20160304
1,mo,welcometocountry,15:50,10 min,WELCOME TO COUNTRY,20160304
1,cr,tedeschitrucksband,22:00,120 min,TEDESCHI TRUCKS BAND,20160304
1,cr,coldwarkids,20:30,60 min,COLD WAR KIDS,20160304
1,cr,tweedy,18:45,75 min,TWEEDY,20160304
1,cr,conbrio,17:15,60 min,CON BRIO,20160304
1,cr,harts,16:00,45 min,HARTS,20160304
1,ja,thewailers,23:00,60 min,THE WAILERS PRESENT EXODUS,20160304
1,ja,theword,21:00,90 min,THE WORD,20160304
1,ja,janivamagness,19:30,60 min,JANIVA MAGNESS,20160304
1,ja,lukasnelsonpromiseofthereal,17:30,90 min,LUKAS NELSON & PROMISE OF THE REAL,20160304
1,ja,thebroslandreth,16:00,60 min,THE BROS. LANDRETH,20160304
1,de,songhoyblues,23:00,60 min,SONGHOY BLUES,20160304
1,de,rhiannongiddens,21:30,60 min,RHIANNON GIDDENS,20160304
1,de,emmadonovantheputbacks,20:00,60 min,EMMA DONOVAN & THE PUTBACKS,20160304
1,de,kaleo,18:30,60 min,KALEO,20160304
1,de,lordhuron,17:15,45 min,LORD HURON,20160304
1,de,diggingroots,16:00,45 min,DIGGING ROOTS,20160304
1,ju,luckypeterson,22:30,90 min,LUCKY PETERSON,20160304
1,ju,eugenehideawaybridges,21:00,60 min,EUGENE 'HIDEAWAY' BRIDGES,20160304
1,ju,chain,19:45,45 min,CHAIN,20160304
1,ju,stevesmyth,18:30,45 min,STEVE SMYTH,20160304
1,ju,blindboypaxton,17:15,45 min,BLIND BOY PAXTON,20160304
1,ju,marshallokell,16:00,45 min,MARSHALL OKELL,20160304
2,mo,thenational,22:30,90 min,THE NATIONAL,20160304
2,mo,cityandcolour,20:30,90 min,CITY AND COLOUR,20160304
2,mo,nahkomedicineforthepeople,18:30,90 min,NAHKO & MEDICINE FOR THE PEOPLE,20160304
2,mo,gracepotter,17:00,60 min,GRACE POTTER,20160304
2,mo,elleking,15:30,60 min,ELLE KING,20160304
2,mo,lordhuron,14:00,60 min,LORD HURON,20160304
2,mo,kaleo,12:45,45 min,KALEO,20160304
2,mo,arakwalopeningceremony,12:00,30 min,ARAKWAL OPENING CEREMONY,20160304
2,cr,themickfleetwoodbluesband,21:45,90 min,THE MICK FLEETWOOD BLUES BAND,20160304
2,cr,stpaulthebrokenbones,20:00,75 min,ST. PAUL & THE BROKEN BONES,20160304
2,cr,tweedy,18:15,75 min,TWEEDY,20160304
2,cr,grahamnash,16:45,60 min,GRAHAM NASH,20160304
2,cr,archieroach,15:15,60 min,ARCHIE ROACH,20160304
2,cr,eastjourney,13:45,60 min,EAST JOURNEY,20160304
2,ja,thewailers,23:00,60 min,THE WAILERS PRESENT UPRISING,20160304
2,ja,playingforchangeband,21:30,60 min,PLAYING FOR CHANGE BAND,20160304
2,ja,steveearlethedukes,20:00,60 min,STEVE EARLE & THE DUKES,20160304
2,ja,blackberrysmoke,18:30,60 min,BLACKBERRY SMOKE,20160304
2,ja,theword,17:00,60 min,THE WORD,20160304
2,ja,songhoyblues,15:30,60 min,SONGHOY BLUES,20160304
2,ja,lukasnelsonpromiseofthereal,14:00,60 min,LUKAS NELSON & PROMISE OF THE REAL,20160304
2,de,texperkinsandtheape,22:30,90 min,TEX PERKINS & THE APE,20160304
2,de,conbrio,21:00,60 min,CON BRIO,20160304
2,de,rhiannongiddens,19:30,60 min,RHIANNON GIDDENS,20160304
2,de,shooglenifty,18:00,60 min,SHOOGLENIFTY,20160304
2,de,thebroslandreth,16:30,60 min,THE BROS. LANDRETH,20160304
2,de,frazeyford,15:00,60 min,FRAZEY FORD,20160304
2,de,eugenehideawaybridges,13:30,60 min,EUGENE 'HIDEAWAY' BRIDGES,20160304
2,de,dustinthomas,12:00,60 min,DUSTIN THOMAS,20160304
2,ju,chain,23:00,60 min,CHAIN,20160304
2,ju,luckypeterson,21:00,90 min,LUCKY PETERSON,20160304
2,ju,blindboypaxton,19:30,60 min,BLIND BOY PAXTON,20160304
2,ju,brotherhoodoftheblues,18:30,30 min,BROTHERHOOD OF THE BLUES,20160304
2,ju,abcgoldcoastfmnationalbroadcast,16:00,120 min,ABC GOLD COAST FM NATIONAL BROADCAST,20160304
2,ju,mojojuju,14:30,60 min,MOJO JUJU,20160304
2,ju,diggingroots,13:15,45 min,DIGGING ROOTS,20160304
2,ju,hussyhicks,12:00,45 min,HUSSY HICKS,20160304
3,mo,dangelo,22:00,120 min,D'ANGELO,20160304
3,mo,hiatuskaiyote,20:15,70 min,HIATUS KAIYOTE,20160304
3,mo,kamasiwashington,18:15,90 min,KAMASI WASHINGTON,20160304
3,mo,thedecemberists,16:30,75 min,THE DECEMBERISTS,20160304
3,mo,eaglesofdeathmetal,15:00,60 min,EAGLES OF DEATH METAL,20160304
3,mo,conbrio,13:30,60 min,CON BRIO,20160304
3,mo,harts,12:00,60 min,HARTS,20160304
3,cr,joebonamassa,22:00,120 min,JOE BONAMASSA,20160304
3,cr,tedeschitrucksband,20:00,90 min,TEDESCHI TRUCKS BAND,20160304
3,cr,themickfleetwoodbluesband,18:15,75 min,THE MICK FLEETWOOD BLUES BAND,20160304
3,cr,vintagetrouble,16:45,60 min,VINTAGE TROUBLE,20160304
3,cr,stpaulthebrokenbones,15:00,75 min,ST. PAUL & THE BROKEN BONES,20160304
3,cr,allenstone,13:30,60 min,ALLEN STONE,20160304
3,cr,themastersons,12:00,60 min,THE MASTERSONS,20160304
3,ja,thewailers,23:00,60 min,THE WAILERS PRESENT SURVIVAL,20160304
3,ja,nahkomedicineforthepeople,21:00,90 min,NAHKO & MEDICINE FOR THE PEOPLE,20160304
3,ja,playingforchangeband,19:30,60 min,PLAYING FOR CHANGE BAND,20160304
3,ja,steveearlethedukes,18:00,60 min,STEVE EARLE & THE DUKES,20160304
3,ja,gracepotter,16:30,60 min,GRACE POTTER,20160304
3,ja,blackberrysmoke,15:00,60 min,BLACKBERRY SMOKE,20160304
3,ja,janivamagness,13:30,60 min,JANIVA MAGNESS,20160304
3,ja,emmadonovantheputbacks,12:00,60 min,EMMA DONOVAN & THE PUTBACKS,20160304
3,de,theword,22:30,90 min,THE WORD,20160304
3,de,lukasnelsonpromiseofthereal,20:30,90 min,LUKAS NELSON & PROMISE OF THE REAL,20160304
3,de,elleking,19:00,60 min,ELLE KING,20160304
3,de,mikelove,17:30,60 min,MIKE LOVE,20160304
3,de,fantasticnegrito,16:00,60 min,FANTASTIC NEGRITO,20160304
3,de,kaleo,14:30,60 min,KALEO,20160304
3,de,thebroslandreth,13:15,45 min,THE BROS. LANDRETH,20160304
3,de,irishmythen,12:00,60 min,IRISH MYTHEN,20160304
3,ju,luckypeterson,22:20,90 min,LUCKY PETERSON,20160304
3,ju,jeffmartin,20:50,60 min,JEFF MARTIN (THE TEA PARTY),20160304
3,ju,theresidentspresentshadowland,19:00,80 min,THE RESIDENTS PRESENT SHADOWLAND,20160304
3,ju,frazeyford,17:30,60 min,FRAZEY FORD,20160304
3,ju,brotherhoodoftheblues,16:30,30 min,BROTHERHOOD OF THE BLUES,20160304
3,ju,piercebrothers,15:00,60 min,PIERCE BROTHERS,20160304
3,ju,stevesmyth,13:30,60 min,STEVE SMYTH,20160304
3,ju,rawearth,12:00,60 min,RAW EARTH,20160304
4,mo,noelgallaghershighflyingbirds,22:30,90 min,NOEL GALLAGHER'S HIGH FLYING BIRDS,20160304
4,mo,thedecemberists,20:45,75 min,THE DECEMBERISTS,20160304
4,mo,thecatempire,18:45,90 min,THE CAT EMPIRE,20160304
4,mo,modestmouse,17:15,60 min,MODEST MOUSE,20160304
4,mo,blackberrysmoke,15:45,60 min,BLACKBERRY SMOKE,20160304
4,mo,houndmouth,14:15,60 min,HOUNDMOUTH,20160304
4,mo,jeffmartin,12:45,60 min,JEFF MARTIN (THE TEA PARTY),20160304
4,cr,ub40featuringalicampbellastroandmickeyvirtue,21:45,120 min,"UB40 FEAT. ALI CAMPBELL, ASTRO & MICKEY VIRTUE",20160304
4,cr,melissaetheridge,19:45,90 min,MELISSA ETHERIDGE,20160304
4,cr,jacksonbrowne,17:45,90 min,JACKSON BROWNE,20160304
4,cr,theblindboysofalabama,16:15,60 min,THE BLIND BOYS OF ALABAMA,20160304
4,cr,grahamnash,14:45,60 min,GRAHAM NASH,20160304
4,cr,thebroslandreth,13:15,60 min,THE BROS. LANDRETH,20160304
4,ja,nathanielrateliffthenightsweats,22:45,75 min,NATHANIEL RATELIFF & THE NIGHT SWEATS,20160304
4,ja,theselecter,20:55,80 min,THE SELECTER,20160304
4,ja,thewailers,18:45,100 min,THE WAILERS PRESENT LEGEND,20160304
4,ja,tajmahal,17:15,60 min,TAJ MAHAL,20160304
4,ja,shakeygraves,15:45,60 min,SHAKEY GRAVES,20160304
4,ja,ashgrunwald,14:30,45 min,ASH GRUNWALD,20160304
4,ja,kimchurchill,13:15,45 min,KIM CHURCHILL,20160304
4,ja,saharabeck,12:00,45 min,SAHARA BECK,20160304
4,de,allenstone,23:00,60 min,ALLEN STONE,20160304
4,de,janivamagness,21:00,90 min,JANIVA MAGNESS,20160304
4,de,fantasticnegrito,19:30,60 min,FANTASTIC NEGRITO,20160304
4,de,lukasnelsonpromiseofthereal,18:00,60 min,LUKAS NELSON & PROMISE OF THE REAL,20160304
4,de,shooglenifty,16:30,60 min,SHOOGLENIFTY,20160304
4,de,theword,15:00,60 min,THE WORD,20160304
4,de,conbrio,13:30,60 min,CON BRIO,20160304
4,de,hussyhicks,12:00,60 min,HUSSY HICKS,20160304
4,ju,rawearth,22:50,60 min,RAW EARTH,20160304
4,ju,theresidentspresentshadowland,21:00,80 min,THE RESIDENTS PRESENT SHADOWLAND,20160304
4,ju,mojojuju,19:30,60 min,MOJO JUJU,20160304
4,ju,mikelove,17:45,75 min,MIKE LOVE,20160304
4,ju,blindboypaxton,16:15,60 min,BLIND BOY PAXTON,20160304
4,ju,wardsxpress,14:45,60 min,WARDS XPRESS,20160304
4,ju,dustinthomas,13:15,60 min,DUSTIN THOMAS,20160304
4,ju,grizzleetrain,12:00,45 min,GRIZZLEE TRAIN 2015 BUSKING COMP. WINNER,20160304
5,mo,tomjones,20:45,90 min,TOM JONES,20160304
5,mo,brianwilsonperformingpetsounds,18:45,90 min,BRIAN WILSON PERFORMING PET SOUNDS,20160304
5,mo,theblindboysofalabama,17:00,75 min,THE BLIND BOYS OF ALABAMA,20160304
5,mo,russellmorris,15:30,60 min,RUSSELL MORRIS,20160304
5,mo,richardclapton,14:00,60 min,RICHARD CLAPTON,20160304
5,mo,kimchurchill,12:30,60 min,KIM CHURCHILL,20160304
5,cr,theoriginalbluesbrothersband,22:30,80 min,THE ORIGINAL BLUES BROTHERS BAND,20160304
5,cr,joebonamassa,20:30,90 min,JOE BONAMASSA,20160304
5,cr,vintagetrouble,19:00,60 min,VINTAGE TROUBLE,20160304
5,cr,playingforchangeband,17:30,60 min,PLAYING FOR CHANGE BAND,20160304
5,cr,tajmahal,16:00,60 min,TAJ MAHAL,20160304
5,cr,irishmythen,14:30,60 min,IRISH MYTHEN,20160304
5,cr,ashgrunwald,13:15,45 min,ASH GRUNWALD,20160304
5,cr,piercebrothers,12:00,45 min,PIERCE BROTHERS,20160304
5,ja,jasonisbell,21:30,90 min,JASON ISBELL,20160304
5,ja,shakeygraves,20:00,60 min,SHAKEY GRAVES,20160304
5,ja,nathanielrateliffthenightsweats,18:15,75 min,NATHANIEL RATELIFF & THE NIGHT SWEATS,20160304
5,ja,stpaulthebrokenbones,16:30,75 min,ST. PAUL & THE BROKEN BONES,20160304
5,ja,allenstone,15:00,60 min,ALLEN STONE,20160304
5,ja,lukasnelsonpromiseofthereal,13:30,60 min,LUKAS NELSON & PROMISE OF THE REAL,20160304
5,ja,marshallokell,12:00,60 min,MARSHALL OKELL,20160304
5,de,blackberrysmoke,21:00,90 min,BLACKBERRY SMOKE,20160304
5,de,fantasticnegrito,19:30,60 min,FANTASTIC NEGRITO,20160304
5,de,backsliders,18:00,60 min,BACKSLIDERS,20160304
5,de,mikelove,16:30,60 min,MIKE LOVE,20160304
5,de,stevesmyth,15:00,60 min,STEVE SMYTH,20160304
5,de,wardsxpress,13:30,60 min,WARDS XPRESS,20160304
5,de,localareahighschoolshowcase,12:00,60 min,LOCAL AREA HIGH SCHOOL SHOWCASE,20160304
5,ju,theselecter,22:35,80 min,THE SELECTER,20160304
5,ju,janivamagness,21:05,60 min,JANIVA MAGNESS,20160304
5,ju,theresidentspresentshadowland,19:15,80 min,THE RESIDENTS PRESENT SHADOWLAND,20160304
5,ju,kaleo,17:45,60 min,KALEO,20160304
5,ju,shooglenifty,16:15,60 min,SHOOGLENIFTY,20160304
5,ju,blindboypaxton,14:45,60 min,BLIND BOY PAXTON,20160304
5,ju,saharabeck,13:30,45 min,SAHARA BECK,20160304
5,ju,2016buskingcompetitionwinner,12:00,60 min,2016 BUSKING COMPETITION WINNER,20160304
